congestion value : 12, drive info : CLMA_46_184:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_rst_n
congestion value : 11, drive info : CLMS_114_165:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/u_user_cmd_fifo/N14
congestion value : 10, drive info : CLMA_14_172:Y2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/wrlvl_ck_dly_start
congestion value : 8, drive info : SRB_96_136:ZSSW[3], design net name : DDR3_Interface_Inst/DDR3_Inst/ddr_rstn
congestion value : 8, drive info : CLMA_78_168:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/A_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/wr_en_real
congestion value : 6, drive info : CLMA_122_152:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/N254
congestion value : 6, drive info : SRB_28_168:ZQW[1], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_rst_n
congestion value : 5, drive info : CLMA_74_112:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/N1202
congestion value : 4, drive info : CLMA_130_176:Y1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rwptr2_b [6]
congestion value : 4, drive info : CLMS_34_153:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_dqs_gate_cal/gatecal/N327
congestion value : 4, drive info : CLMS_102_161:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcd_top/mcdq_dcd_bm/N281
congestion value : 4, drive info : SRB_116_184:ZQW[3], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst3/fifo_rd_rst
congestion value : 4, drive info : CLMS_78_173:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/A_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/wr_addr [2]
