------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile

Detailed RTL Component Info :
-----Add :
               Total_Num :91
-----Sub :
               Total_Num :83
-----AddSub :
               Total_Num :0

Add_Sub_AddSub: Initial Mapping Report :
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Module Name                                       |Type     |Count    |Number   |Location/Inst Name                                                                                                  |
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Frame_RD_Interface_Inst                           |Add      |21       |1        |../source/Frame_RD_Interface.v:143                                                                                  |
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Frame_WR_Interface_Inst0                          |Add      |18       |1        |../source/source/Frame_WR_Interface1.v:123                                                                          |
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Frame_WR_Interface_Inst0                          |Add      |21       |1        |../source/source/Frame_WR_Interface1.v:124                                                                          |
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Frame_WR_Interface_Inst0                          |Add      |11       |1        |../source/source/Frame_WR_Interface1.v:163                                                                          |
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Frame_WR_Interface_Inst1                          |Add      |18       |1        |../source/source/Frame_WR_Interface1.v:123                                                                          |
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Frame_WR_Interface_Inst1                          |Add      |21       |1        |../source/source/Frame_WR_Interface1.v:124                                                                          |
|--------------------------------------------------|---------|---------|---------|--------------------------------------------------------------------------------------------------------------------|
|Frame_WR_Interface_Inst1                          |Add      |11       |1        |../source/source/Frame_WR_Interface1.v:163                                                                          |
